# osu-lat-charm.py 1 4194304 1000 500 0 /home/zanef2/charm-mpi-compare/microbenchmarks +ppn 1 +pemap L0,4
Iteration Group,Message Size,Total Trials,Warmup Trials,Elapsed seconds
0,1,1000,50,2.4595999999999997e-06
10,1,1000,50,2.2341999999999997e-06
20,1,1000,50,2.5107e-06
30,1,1000,50,2.16e-06
40,1,1000,50,2.659e-06
50,1,1000,50,2.094e-06
60,1,1000,50,1.8364000000000001e-06
70,1,1000,50,1.8435e-06
80,1,1000,50,1.8515e-06
90,1,1000,50,1.8265e-06
100,1,1000,50,1.8245e-06
110,1,1000,50,2.0048e-06
120,1,1000,50,1.8194e-06
130,1,1000,50,1.8274e-06
140,1,1000,50,1.8425e-06
150,1,1000,50,1.8484000000000002e-06
160,1,1000,50,1.8244e-06
170,1,1000,50,1.8585e-06
180,1,1000,50,1.8435e-06
190,1,1000,50,1.8555e-06
200,1,1000,50,1.8555e-06
210,1,1000,50,1.8364000000000001e-06
220,1,1000,50,1.8234000000000002e-06
230,1,1000,50,1.8274e-06
240,1,1000,50,1.9457e-06
250,1,1000,50,2.3725e-06
260,1,1000,50,1.8605e-06
270,1,1000,50,1.8805e-06
280,1,1000,50,1.8195e-06
290,1,1000,50,1.8054000000000001e-06
300,1,1000,50,1.8566e-06
310,1,1000,50,1.8034000000000002e-06
320,1,1000,50,1.8335e-06
330,1,1000,50,1.8335e-06
340,1,1000,50,1.8395e-06
350,1,1000,50,1.8174000000000002e-06
360,1,1000,50,1.8424000000000001e-06
370,1,1000,50,1.8224000000000001e-06
380,1,1000,50,1.8936e-06
390,1,1000,50,1.8475e-06
400,1,1000,50,1.8595e-06
410,1,1000,50,1.8566e-06
420,1,1000,50,1.8234000000000002e-06
430,1,1000,50,1.8825e-06
440,1,1000,50,1.8285e-06
450,1,1000,50,1.8235e-06
460,1,1000,50,1.8344000000000002e-06
470,1,1000,50,1.8735e-06
480,1,1000,50,1.8385e-06
490,1,1000,50,1.8164e-06
500,1,1000,50,1.8194e-06
510,1,1000,50,1.8745e-06
520,1,1000,50,1.8675e-06
530,1,1000,50,1.8444e-06
540,1,1000,50,1.8485e-06
550,1,1000,50,1.8335e-06
560,1,1000,50,1.8334e-06
570,1,1000,50,1.8255e-06
580,1,1000,50,1.8595e-06
590,1,1000,50,1.9958e-06
600,1,1000,50,1.8235e-06
610,1,1000,50,1.8185e-06
620,1,1000,50,1.8235e-06
630,1,1000,50,1.8244e-06
640,1,1000,50,1.8635e-06
650,1,1000,50,1.8595e-06
660,1,1000,50,1.8595e-06
670,1,1000,50,1.8245e-06
680,1,1000,50,1.8515e-06
690,1,1000,50,1.8365e-06
700,1,1000,50,1.8425e-06
710,1,1000,50,1.8445e-06
720,1,1000,50,1.8685e-06
730,1,1000,50,1.8314000000000002e-06
740,1,1000,50,1.8255e-06
750,1,1000,50,1.8575e-06
760,1,1000,50,1.8405e-06
770,1,1000,50,1.8164e-06
780,1,1000,50,1.8305e-06
790,1,1000,50,1.8315e-06
800,1,1000,50,1.8235e-06
810,1,1000,50,1.8435e-06
820,1,1000,50,1.8245e-06
830,1,1000,50,1.8595e-06
840,1,1000,50,1.8715e-06
850,1,1000,50,1.8275e-06
860,1,1000,50,1.8325e-06
870,1,1000,50,1.8285e-06
880,1,1000,50,1.8204000000000002e-06
890,1,1000,50,1.8224000000000001e-06
900,1,1000,50,1.8535e-06
910,1,1000,50,1.8355e-06
920,1,1000,50,1.8174000000000002e-06
930,1,1000,50,1.8094e-06
940,1,1000,50,1.8205e-06
950,1,1000,50,1.8495e-06
960,1,1000,50,1.8424000000000001e-06
970,1,1000,50,1.8164e-06
980,1,1000,50,1.8274e-06
990,1,1000,50,1.8154e-06
1000,1,1000,50,1.9687e-06
1010,1,1000,50,1.8966e-06
1020,1,1000,50,1.8274e-06
1030,1,1000,50,1.8255e-06
1040,1,1000,50,1.8355e-06
0,2,1000,50,1.8375e-06
10,2,1000,50,1.8344000000000002e-06
20,2,1000,50,1.8705e-06
30,2,1000,50,1.8174000000000002e-06
40,2,1000,50,1.8675e-06
50,2,1000,50,1.8545e-06
60,2,1000,50,1.7944000000000001e-06
70,2,1000,50,1.7882999999999999e-06
80,2,1000,50,1.8215e-06
90,2,1000,50,1.8465e-06
100,2,1000,50,1.8344000000000002e-06
110,2,1000,50,1.8265e-06
120,2,1000,50,1.8235e-06
130,2,1000,50,1.8144000000000002e-06
140,2,1000,50,1.8265e-06
150,2,1000,50,1.8064000000000002e-06
160,2,1000,50,1.8234000000000002e-06
170,2,1000,50,1.8345e-06
180,2,1000,50,1.8265e-06
190,2,1000,50,1.8224000000000001e-06
200,2,1000,50,1.7894000000000002e-06
210,2,1000,50,2.2152e-06
220,2,1000,50,1.8194e-06
230,2,1000,50,1.8244e-06
240,2,1000,50,1.8265e-06
250,2,1000,50,1.8524e-06
260,2,1000,50,1.8255e-06
270,2,1000,50,1.8174000000000002e-06
280,2,1000,50,1.8114000000000001e-06
290,2,1000,50,1.8455e-06
300,2,1000,50,1.8054000000000001e-06
310,2,1000,50,1.8104e-06
320,2,1000,50,1.8395e-06
330,2,1000,50,1.8154e-06
340,2,1000,50,1.9737e-06
350,2,1000,50,1.7994e-06
360,2,1000,50,1.8294e-06
370,2,1000,50,1.8234000000000002e-06
380,2,1000,50,1.8104e-06
390,2,1000,50,1.7934e-06
400,2,1000,50,1.8074e-06
410,2,1000,50,1.8314000000000002e-06
420,2,1000,50,1.8274e-06
430,2,1000,50,1.8335e-06
440,2,1000,50,1.8575e-06
450,2,1000,50,1.7964e-06
460,2,1000,50,1.8425e-06
470,2,1000,50,1.7783e-06
480,2,1000,50,1.9355999999999997e-06
490,2,1000,50,1.8495e-06
500,2,1000,50,1.8485e-06
510,2,1000,50,1.8004000000000002e-06
520,2,1000,50,1.7984e-06
530,2,1000,50,1.8385e-06
540,2,1000,50,1.7903e-06
550,2,1000,50,1.8094e-06
560,2,1000,50,1.8204000000000002e-06
570,2,1000,50,1.8184e-06
580,2,1000,50,1.8124e-06
590,2,1000,50,1.8264e-06
600,2,1000,50,1.8144000000000002e-06
610,2,1000,50,1.8415e-06
620,2,1000,50,1.8144000000000002e-06
630,2,1000,50,1.8204000000000002e-06
640,2,1000,50,1.8054000000000001e-06
650,2,1000,50,1.8114000000000001e-06
660,2,1000,50,1.8465e-06
670,2,1000,50,1.8174000000000002e-06
680,2,1000,50,1.8355e-06
690,2,1000,50,1.8124e-06
700,2,1000,50,1.8214e-06
710,2,1000,50,1.8174000000000002e-06
720,2,1000,50,1.7994e-06
730,2,1000,50,1.8555e-06
740,2,1000,50,1.8224000000000001e-06
750,2,1000,50,1.8755e-06
760,2,1000,50,1.8205e-06
770,2,1000,50,1.8114000000000001e-06
